transID,blastNR,proteinID,geneName,CDSID,geneID
Ler_324624.p2.p1,sp|Q3MHH0|DCA12_BOVIN,Q3MHH0,DCAF12,Ler_324624.p2,nbisL1-mrna-45
Ler_324624.p2.p2,sp|Q8BGZ3|DCA12_MOUSE,Q8BGZ3,DCAF12,Ler_324624.p2,nbisL1-mrna-45
MSTRG.258.2.p1.p1,sp|P33316|DUT_HUMAN,P33316,DUT,MSTRG.258.2.p1,MSTRG.258
Ler_126068.p14.p4,sp|Q9NPI5|NRK2_HUMAN,Q9NPI5,NMRK2,Ler_126068.p14,nbisL1-mrna-84
MSTRG.74.1.p1.p1,sp|Q05B65|SRFB1_BOVIN,Q05B65,SRFBP1,MSTRG.74.1.p1,MSTRG.74
MSTRG.397.1.p1.p1,sp|O35709|ENC1_MOUSE,O35709,ENC1,MSTRG.397.1.p1,MSTRG.397
MSTRG.223.2.p5.p1,sp|Q9QUN7|TLR2_MOUSE,Q9QUN7,TLR2,MSTRG.223.2.p5,MSTRG.223
MSTRG.288.1.p2.p2,sp|Q5ZM57|HACD3_CHICK,Q5ZM57,HACD3,MSTRG.288.1.p2,MSTRG.288
MSTRG.96.1.p1.p1,sp|Q9Y6J8|STYL1_HUMAN,Q9Y6J8,STYXL1,MSTRG.96.1.p1,MSTRG.96
MSTRG.49.1.p1.p1,sp|Q9CPT4|MYDGF_MOUSE,Q9CPT4,MYDGF,MSTRG.49.1.p1,MSTRG.49
MSTRG.163.1.p2.p2,sp|Q6ZUX7|LHPL2_HUMAN,Q6ZUX7,LHFPL2,MSTRG.163.1.p2,MSTRG.163
MSTRG.186.1.p1.p1,sp|O60911|CATL2_HUMAN,O60911,CTSV,MSTRG.186.1.p1,MSTRG.186
MSTRG.64.1.p1.p1,sp|P09958|FURIN_HUMAN,P09958,FURIN,MSTRG.64.1.p1,MSTRG.64
MSTRG.184.3.p1.p1,sp|O35186|CATK_RAT,O35186,CTSK,MSTRG.184.3.p1,MSTRG.184
MSTRG.205.1.p1.p1,sp|P51398|RT29_HUMAN,P51398,DAP3,MSTRG.205.1.p1,MSTRG.205
Ler_324608.p3.p3,sp|O15466|SIA8E_HUMAN,O15466,ST8SIA5,Ler_324608.p3,nbisL1-mrna-50
Ler_324585.p1.p1,sp|Q9WV18|GABR1_MOUSE,Q9WV18,GABBR1,Ler_324585.p1,nbisL1-mrna-48
MSTRG.34.6.p1.p1,sp|Q6ZRY4|RBPS2_HUMAN,Q6ZRY4,RBPMS2,MSTRG.34.6.p1,MSTRG.34
MSTRG.306.1.p1.p1,sp|P52657|T2AG_HUMAN,P52657,GTF2A2,MSTRG.306.1.p1,MSTRG.306
MSTRG.320.1.p1.p1,sp|P40201|CHD1_MOUSE,P40201,CHD1,MSTRG.320.1.p1,MSTRG.320
MSTRG.304.2.p5.p1,sp|Q1M168|ATCAY_RAT,Q1M168,ATCAY,MSTRG.304.2.p5,MSTRG.304
Ler_92906.p1.p1,sp|O93209|POL_FFV,O93209,POL,Ler_92906.p1,nbisL1-mrna-1
MSTRG.130.1.p2.p2,sp|Q6ZUX7|LHPL2_HUMAN,Q6ZUX7,LHFPL2,MSTRG.130.1.p2,MSTRG.130
MSTRG.23.1.p1.p1,sp|Q6DEB4|AR19A_XENLA,Q6DEB4,ARPP19-A,MSTRG.23.1.p1,MSTRG.23
MSTRG.285.1.p1.p1,sp|Q7Z4V5|HDGR2_HUMAN,Q7Z4V5,HDGFL2,MSTRG.285.1.p1,MSTRG.285
MSTRG.22.2.p2.p2,sp|O43451|MGA_HUMAN,O43451,MGAM,MSTRG.22.2.p2,MSTRG.22
MSTRG.22.2.p2.p3,sp|P23739|SUIS_RAT,P23739,SI,MSTRG.22.2.p2,MSTRG.22
MSTRG.194.1.p1.p1,sp|Q6DH02|RM24_DANRE,Q6DH02,MRPL24,MSTRG.194.1.p1,MSTRG.194
MSTRG.87.5.p1.p1,sp|Q6GQD7|ARI3A_XENLA,Q6GQD7,ARID3A,MSTRG.87.5.p1,MSTRG.87
MSTRG.312.1.p1.p1,sp|Q05A36|MEX3C_MOUSE,Q05A36,MEX3C,MSTRG.312.1.p1,MSTRG.312
Ler_372506.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_372506.p1,nbisL1-mrna-51
Ler_163327.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_163327.p1,nbisL1-mrna-94
MSTRG.120.2.p2.p2,sp|Q4LE85|RB27A_PIG,Q4LE85,RAB27A,MSTRG.120.2.p2,MSTRG.120
MSTRG.330.1.p2.p2,sp|O09126|SEM4D_MOUSE,O09126,SEMA4D,MSTRG.330.1.p2,MSTRG.330
Ler_313334.p4.p4,sp|C0HKD8|MFA1A_MOUSE,C0HKD8,MFAP1A,Ler_313334.p4,nbisL1-mrna-40
MSTRG.369.1.p1.p1,sp|Q9Y3B3|TMED7_HUMAN,Q9Y3B3,TMED7,MSTRG.369.1.p1,MSTRG.369
Ler_340046.p1.p1,sp|Q86X52|CHSS1_HUMAN,Q86X52,CHSY1,Ler_340046.p1,nbisL1-mrna-52
MSTRG.158.3.p4.p1,sp|A0A8I3NGV2|NCLN_CANLF,A0A8I3NGV2,NCLN,MSTRG.158.3.p4,MSTRG.158
MSTRG.158.3.p4.p4,sp|Q6NZ07|NCLN_DANRE,Q6NZ07,NCLN,MSTRG.158.3.p4,MSTRG.158
MSTRG.402.4.p1.p1,sp|Q61282|PGCA_MOUSE,Q61282,ACAN,MSTRG.402.4.p1,MSTRG.402
MSTRG.402.4.p1.p2,sp|P41725|PGCB_FELCA,P41725,BCAN,MSTRG.402.4.p1,MSTRG.402
MSTRG.402.1.p2.p1,sp|Q61282|PGCA_MOUSE,Q61282,ACAN,MSTRG.402.1.p2,MSTRG.402
Ler_269635.p1.p1,sp|Q8AY68|SHC1_XENLA,Q8AY68,SHC1,Ler_269635.p1,nbisL1-mrna-109
Ler_269635.p1.p3,sp|Q5R7W7|SHC1_PONAB,Q5R7W7,SHC1,Ler_269635.p1,nbisL1-mrna-109
Ler_293440.p1.p1,sp|Q71RS6|NCKX5_HUMAN,Q71RS6,SLC24A5,Ler_293440.p1,nbisL1-mrna-101
Ler_58521.p1.p1,sp|P33198|IDHP_PIG,P33198,IDH2,Ler_58521.p1,nbisL1-mrna-71
Ler_58521.p1.p2,sp|P33198|IDHP_PIG,P33198,IDH2,Ler_58521.p1,nbisL1-mrna-71
Ler_58521.p1.p6,sp|Q04467|IDHP_BOVIN,Q04467,IDH2,Ler_58521.p1,nbisL1-mrna-71
MSTRG.72.3.p1.p1,sp|Q08397|LOXL1_HUMAN,Q08397,LOXL1,MSTRG.72.3.p1,MSTRG.72
Ler_76151.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_76151.p1,nbisL1-mrna-81
Ler_163375.p1.p1,sp|Q6PFJ9|ARI1_DANRE,Q6PFJ9,ARIH1,Ler_163375.p1,nbisL1-mrna-21
MSTRG.58.1.p1.p1,sp|Q96IQ9|ZN414_HUMAN,Q96IQ9,ZNF414,MSTRG.58.1.p1,MSTRG.58
MSTRG.256.1.p1.p1,sp|Q86X52|CHSS1_HUMAN,Q86X52,CHSY1,MSTRG.256.1.p1,MSTRG.256
MSTRG.92.1.p1.p1,sp|Q592E4|CTXN2_DANRE,Q592E4,CTXN2,MSTRG.92.1.p1,MSTRG.92
Ler_372532.p9.p9,sp|Q2TBK8|SPN1_BOVIN,Q2TBK8,SNUPN,Ler_372532.p9,nbisL1-mrna-66
Ler_372532.p9.p13,sp|Q80W37|SPN1_MOUSE,Q80W37,SNUPN,Ler_372532.p9,nbisL1-mrna-66
Ler_372532.p9.p14,sp|O95149|SPN1_HUMAN,O95149,SNUPN,Ler_372532.p9,nbisL1-mrna-66
Ler_142690.p1.p2,sp|P14381|YTX2_XENLA,P14381,#N/A,Ler_142690.p1,nbisL1-mrna-90
MSTRG.373.1.p1.p1,sp|Q9Y3B3|TMED7_HUMAN,Q9Y3B3,TMED7,MSTRG.373.1.p1,MSTRG.373
MSTRG.207.1.p1.p1,sp|Q9NR48|ASH1L_HUMAN,Q9NR48,ASH1L,MSTRG.207.1.p1,MSTRG.207
MSTRG.207.1.p1.p4,sp|Q9Y6X0|SETBP_HUMAN,Q9Y6X0,SETBP1,MSTRG.207.1.p1,MSTRG.207
MSTRG.207.1.p1.p14,sp|Q9NR48|ASH1L_HUMAN,Q9NR48,ASH1L,MSTRG.207.1.p1,MSTRG.207
Ler_313352.p5.p5,sp|P97546|NPTN_RAT,P97546,NPTN,Ler_313352.p5,nbisL1-mrna-44
MSTRG.340.1.p1.p1,sp|Q7Z4V5|HDGR2_HUMAN,Q7Z4V5,HDGFL2,MSTRG.340.1.p1,MSTRG.340
MSTRG.32.1.p2.p1,sp|P51797|CLCN6_HUMAN,P51797,CLCN6,MSTRG.32.1.p2,MSTRG.32
MSTRG.385.2.p2.p2,sp|P14618|KPYM_HUMAN,P14618,PKM,MSTRG.385.2.p2,MSTRG.385
MSTRG.212.11.p1.p1,sp|Q6GPM1|ZFR_XENLA,Q6GPM1,ZFR,MSTRG.212.11.p1,MSTRG.212
MSTRG.212.11.p1.p4,sp|Q9UPR6|ZFR2_HUMAN,Q9UPR6,ZFR2,MSTRG.212.11.p1,MSTRG.212
MSTRG.26.3.p2.p2,sp|Q5ZLS2|EDC3_CHICK,Q5ZLS2,EDC3,MSTRG.26.3.p2,MSTRG.26
MSTRG.11.1.p1.p1,sp|Q5ZKF4|HM20A_CHICK,Q5ZKF4,HMG20A,MSTRG.11.1.p1,MSTRG.11
Ler_388979.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_388979.p1,nbisL1-mrna-70
MSTRG.342.1.p1.p1,sp|Q92733|PRCC_HUMAN,Q92733,PRCC,MSTRG.342.1.p1,MSTRG.342
Ler_163325.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_163325.p1,nbisL1-mrna-95
MSTRG.37.1.p1.p1,sp|Q8BUN9|NCKX2_MOUSE,Q8BUN9,SLC24A2,MSTRG.37.1.p1,MSTRG.37
MSTRG.37.1.p1.p7,sp|O60721|NCKX1_HUMAN,O60721,SLC24A1,MSTRG.37.1.p1,MSTRG.37
MSTRG.204.1.p1.p1,sp|Q80WG7|TRI36_MOUSE,Q80WG7,TRIM36,MSTRG.204.1.p1,MSTRG.204
MSTRG.140.1.p1.p1,sp|Q9H2S1|KCNN2_HUMAN,Q9H2S1,KCNN2,MSTRG.140.1.p1,MSTRG.140
MSTRG.84.1.p16.p1,sp|Q78E60|ARNT2_RAT,Q78E60,ARNT2,MSTRG.84.1.p16,MSTRG.84
MSTRG.84.1.p16.p10,sp|Q2YDS5|SCNM1_DANRE,Q2YDS5,SCNM1,MSTRG.84.1.p16,MSTRG.84
MSTRG.179.1.p2.p2,sp|P47802|MTX1_MOUSE,P47802,MTX1,MSTRG.179.1.p2,MSTRG.179
Ler_313330.p1.p1,sp|Q7LHG5|YI31B_YEAST,Q7LHG5,TY3B-I,Ler_313330.p1,nbisL1-mrna-28
Ler_313330.p1.p2,sp|P10394|POL4_DROME,P10394,POL,Ler_313330.p1,nbisL1-mrna-28
Ler_313359.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_313359.p1,nbisL1-mrna-43
Ler_313359.p1.p2,sp|Q8I7P9|POL5_DROME,Q8I7P9,POL,Ler_313359.p1,nbisL1-mrna-43
MSTRG.152.1.p2.p2,sp|P55265|DSRAD_HUMAN,P55265,ADAR,MSTRG.152.1.p2,MSTRG.152
MSTRG.408.1.p1.p1,sp|Q7Z2Z1|TICRR_HUMAN,Q7Z2Z1,TICRR,MSTRG.408.1.p1,MSTRG.408
MSTRG.225.1.p1.p1,sp|Q9UMX0|UBQL1_HUMAN,Q9UMX0,UBQLN1,MSTRG.225.1.p1,MSTRG.225
MSTRG.259.1.p1.p1,sp|P33316|DUT_HUMAN,P33316,DUT,MSTRG.259.1.p1,MSTRG.259
MSTRG.182.1.p1.p1,sp|Q6VVX2|CERT_CRIGR,Q6VVX2,CERT1,MSTRG.182.1.p1,MSTRG.182
MSTRG.150.1.p1.p1,sp|Q99MU3|DSRAD_MOUSE,Q99MU3,ADAR,MSTRG.150.1.p1,MSTRG.150
Ler_355504.p6.p1,sp|Q5XIC4|SPG21_RAT,Q5XIC4,SPG21,Ler_355504.p6,nbisL1-mrna-57
Ler_355504.p6.p2,sp|Q5XIC4|SPG21_RAT,Q5XIC4,SPG21,Ler_355504.p6,nbisL1-mrna-57
MSTRG.42.1.p3.p1,sp|P10394|POL4_DROME,P10394,POL,MSTRG.42.1.p3,MSTRG.42
MSTRG.352.1.p1.p1,sp|Q6TXF1|ARRD3_RAT,Q6TXF1,ARRDC3,MSTRG.352.1.p1,MSTRG.352
Ler_293558.p1.p1,sp|Q92785|REQU_HUMAN,Q92785,DPF2,Ler_293558.p1,nbisL1-mrna-107
Ler_293558.p1.p3,sp|P14380|YTX1_XENLA,P14380,#N/A,Ler_293558.p1,nbisL1-mrna-107
MSTRG.235.1.p6.p4,sp|Q5PXY7|RABP2_BOVIN,Q5PXY7,CRABP2,MSTRG.235.1.p6,MSTRG.235
Ler_202492.p2.p2,sp|Q9CPT4|MYDGF_MOUSE,Q9CPT4,MYDGF,Ler_202492.p2,nbisL1-mrna-105
MSTRG.192.1.p3.p3,sp|Q5ZK14|DDA1_CHICK,Q5ZK14,DDA1,MSTRG.192.1.p3,MSTRG.192
MSTRG.314.1.p1.p1,sp|Q99961|SH3G1_HUMAN,Q99961,SH3GL1,MSTRG.314.1.p1,MSTRG.314
MSTRG.314.1.p1.p4,sp|Q8AXU9|SH3G3_CHICK,Q8AXU9,SH3GL3,MSTRG.314.1.p1,MSTRG.314
MSTRG.176.1.p1.p1,sp|Q80WG7|TRI36_MOUSE,Q80WG7,TRIM36,MSTRG.176.1.p1,MSTRG.176
Ler_58495.p1.p1,sp|Q80VL1|TDRKH_MOUSE,Q80VL1,TDRKH,Ler_58495.p1,nbisL1-mrna-12
MSTRG.171.1.p1.p1,sp|Q571C7|BDP1_MOUSE,Q571C7,BDP1,MSTRG.171.1.p1,MSTRG.171
MSTRG.54.1.p5.p7,sp|Q80U04|PJA2_MOUSE,Q80U04,PJA2,MSTRG.54.1.p5,MSTRG.54
MSTRG.348.11.p1.p1,sp|Q6IRM9|ZWILC_XENLA,Q6IRM9,ZWILCH,MSTRG.348.11.p1,MSTRG.348
Ler_324604.p1.p1,sp|P04323|POL3_DROME,P04323,POL,Ler_324604.p1,nbisL1-mrna-47
MSTRG.209.1.p1.p1,sp|O08835|SYT11_RAT,O08835,SYT11,MSTRG.209.1.p1,MSTRG.209
Ler_269617.p9.p1,sp|Q3ZCK9|PSA4_BOVIN,Q3ZCK9,PSMA4,Ler_269617.p9,nbisL1-mrna-108
MSTRG.190.2.p3.p3,sp|D3ZYW7|FRDA_RAT,D3ZYW7,FXN,MSTRG.190.2.p3,MSTRG.190
MSTRG.134.3.p1.p1,sp|O95263|PDE8B_HUMAN,O95263,PDE8B,MSTRG.134.3.p1,MSTRG.134
MSTRG.264.1.p1.p1,sp|Q6ZQ11|CHSS1_MOUSE,Q6ZQ11,CHSY1,MSTRG.264.1.p1,MSTRG.264
MSTRG.376.5.p5.p1,sp|Q96HH9|GRM2B_HUMAN,Q96HH9,GRAMD2B,MSTRG.376.5.p5,MSTRG.376
MSTRG.302.1.p1.p3,sp|A5PK29|TP8L1_BOVIN,A5PK29,TNFAIP8L1,MSTRG.302.1.p1,MSTRG.302
MSTRG.405.1.p1.p1,sp|P16591|FER_HUMAN,P16591,FER,MSTRG.405.1.p1,MSTRG.405
Ler_58552.p1.p1,sp|P20825|POL2_DROME,P20825,POL,Ler_58552.p1,nbisL1-mrna-15
MSTRG.303.1.p1.p1,sp|P04323|POL3_DROME,P04323,POL,MSTRG.303.1.p1,MSTRG.303
MSTRG.280.1.p1.p1,sp|Q8BHE3|ATCAY_MOUSE,Q8BHE3,ATCAY,MSTRG.280.1.p1,MSTRG.280
MSTRG.412.1.p2.p2,sp|Q28610|SC5AA_RABIT,Q28610,SLC5A10,MSTRG.412.1.p2,MSTRG.412
MSTRG.147.1.p1.p1,sp|Q6FIF0|ZFAN6_HUMAN,Q6FIF0,ZFAND6,MSTRG.147.1.p1,MSTRG.147
Ler_372507.p4.p3,sp|P07096|APL2_PETMA,P07096,#N/A,Ler_372507.p4,nbisL1-mrna-29
Ler_372507.p4.p4,sp|P07096|APL2_PETMA,P07096,#N/A,Ler_372507.p4,nbisL1-mrna-29
Ler_163323.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_163323.p1,nbisL1-mrna-96
MSTRG.335.1.p4.p2,sp|O09126|SEM4D_MOUSE,O09126,SEMA4D,MSTRG.335.1.p4,MSTRG.335
MSTRG.159.1.p1.p1,sp|Q6FIF0|ZFAN6_HUMAN,Q6FIF0,ZFAND6,MSTRG.159.1.p1,MSTRG.159
MSTRG.99.1.p3.p4,sp|Q8IWX7|UN45B_HUMAN,Q8IWX7,UNC45B,MSTRG.99.1.p3,MSTRG.99
MSTRG.99.1.p3.p10,sp|Q9H3U1|UN45A_HUMAN,Q9H3U1,UNC45A,MSTRG.99.1.p3,MSTRG.99
Ler_339995.p2.p2,sp|O77633|ADA10_PIG,O77633,ADAM10,Ler_339995.p2,nbisL1-mrna-5
Ler_388962.p4.p1,sp|P0CV25|RLR78_PLAVT,P0CV25,RXLR78,Ler_388962.p4,nbisL1-mrna-68
MSTRG.347.1.p1.p1,sp|Q3SYZ3|CR3L3_BOVIN,Q3SYZ3,CREB3L3,MSTRG.347.1.p1,MSTRG.347
MSTRG.217.1.p2.p1,sp|P97467|AMD_MOUSE,P97467,PAM,MSTRG.217.1.p2,MSTRG.217
MSTRG.217.1.p2.p2,sp|P12890|AMDB_XENLA,P12890,PAM-B,MSTRG.217.1.p2,MSTRG.217
MSTRG.70.1.p1.p1,sp|Q6GPA8|SCM5A_XENLA,Q6GPA8,SCAMP5-A,MSTRG.70.1.p1,MSTRG.70
Ler_339994.p4.p4,sp|Q9DC33|HM20A_MOUSE,Q9DC33,HMG20A,Ler_339994.p4,nbisL1-mrna-61
Ler_126118.p2.p1,sp|P56471|IDH3A_PIG,P56471,IDH3A,Ler_126118.p2,nbisL1-mrna-18
Ler_126118.p2.p2,sp|Q9D6R2|IDH3A_MOUSE,Q9D6R2,IDH3A,Ler_126118.p2,nbisL1-mrna-18
MSTRG.353.1.p1.p1,sp|A1YPR0|ZBT7C_HUMAN,A1YPR0,ZBTB7C,MSTRG.353.1.p1,MSTRG.353
MSTRG.361.1.p1.p1,sp|Q6PFJ9|ARI1_DANRE,Q6PFJ9,ARIH1,MSTRG.361.1.p1,MSTRG.361
MSTRG.292.1.p2.p2,sp|Q2NLB0|KHDC4_XENLA,Q2NLB0,KHDC4,MSTRG.292.1.p2,MSTRG.292
MSTRG.226.1.p1.p1,sp|Q9H2W6|RM46_HUMAN,Q9H2W6,MRPL46,MSTRG.226.1.p1,MSTRG.226
Ler_324605.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_324605.p1,nbisL1-mrna-4
MSTRG.199.1.p1.p1,sp|Q571C7|BDP1_MOUSE,Q571C7,BDP1,MSTRG.199.1.p1,MSTRG.199
Ler_225020.p1.p1,sp|Q9D0A0|DET1_MOUSE,Q9D0A0,DET1,Ler_225020.p1,nbisL1-mrna-104
MSTRG.57.1.p9.p1,sp|O77633|ADA10_PIG,O77633,ADAM10,MSTRG.57.1.p9,MSTRG.57
MSTRG.146.2.p1.p1,sp|Q6NZ07|NCLN_DANRE,Q6NZ07,NCLN,MSTRG.146.2.p1,MSTRG.146
